name,lat,lon,elevation,il,ilce,solcast_site_id,tilt,azimuth,nominal_max_output
Güneşköy,39.8378453,33.2939538,800,Kırıkkale,Yahşihan,,20,180,1
EEE B Block,39.890893,32.782331,800,Ankara,Çankaya,xxxxxx,19.8,180,27.8
